Id;Symbol;Side;Open Time;Close Time;PnL (USDT);Balance
1;XPLUSDT;SYNC;2026-06-30 03:26:05;2026-06-30 03:26:05;0.0231;298.9831
2;VVVUSDT;SYNC;2026-06-30 03:28:08;2026-06-30 03:28:08;0.0758;299.0589
3;STABLEUSDT;SYNC;2026-06-30 03:31:19;2026-06-30 03:31:19;0.0619;299.1208
4;STABLEUSDT;SYNC;2026-06-30 03:31:25;2026-06-30 03:31:25;0.0749;299.1958
5;VVVUSDT;SYNC;2026-06-30 03:31:44;2026-06-30 03:31:44;0.0756;299.2714
6;DASHUSDT;SYNC;2026-06-30 03:31:53;2026-06-30 03:31:53;0.0758;299.3472
7;XPLUSDT;SYNC;2026-06-30 03:31:57;2026-06-30 03:31:57;0.0749;299.4221
8;VVVUSDT;SYNC;2026-06-30 03:39:21;2026-06-30 03:39:21;0.043;299.4651
9;DASHUSDT;SYNC;2026-06-30 04:10:36;2026-06-30 04:10:36;0.0698;299.5349
10;STABLEUSDT;SYNC;2026-06-30 04:14:38;2026-06-30 04:14:38;0.0682;299.6031
11;XPLUSDT;SYNC;2026-06-30 05:11:27;2026-06-30 05:11:27;0.069;299.6721
12;VVVUSDT;SYNC;2026-06-30 05:16:10;2026-06-30 05:16:10;0.069;299.741
13;STABLEUSDT;SYNC;2026-06-30 05:50:14;2026-06-30 05:50:14;0.068;299.809
14;STABLEUSDT;SYNC;2026-06-30 05:54:50;2026-06-30 05:54:50;0.0682;299.8772
15;STABLEUSDT;SYNC;2026-06-30 05:55:13;2026-06-30 05:55:13;0.0683;299.9455
16;STABLEUSDT;SYNC;2026-06-30 05:55:21;2026-06-30 05:55:21;0.0674;300.013
17;STABLEUSDT;SYNC;2026-06-30 05:55:58;2026-06-30 05:55:58;0.0698;300.0828
18;STABLEUSDT;SYNC;2026-06-30 05:56:30;2026-06-30 05:56:30;0.0671;300.1499
19;XPLUSDT;SYNC;2026-06-30 09:26:34;2026-06-30 09:26:34;0.069;300.2189
20;VVVUSDT;SYNC;2026-06-30 10:42:25;2026-06-30 10:42:25;0.0691;300.288
21;VVVUSDT;SYNC;2026-06-30 10:54:41;2026-06-30 10:54:41;0.0685;300.3566
22;VVVUSDT;SYNC;2026-06-30 11:05:20;2026-06-30 11:05:20;0.0685;300.4251
23;XPLUSDT;SYNC;2026-06-30 11:30:25;2026-06-30 11:30:25;0.0684;300.4934
24;XPLUSDT;SYNC;2026-06-30 11:31:16;2026-06-30 11:31:16;0.0689;300.5623
25;XPLUSDT;SYNC;2026-06-30 12:17:36;2026-06-30 12:17:36;0.069;300.6313
26;DASHUSDT;SYNC;2026-06-30 12:52:58;2026-06-30 12:52:58;0.0693;300.7006
27;STABLEUSDT;SYNC;2026-06-30 13:48:54;2026-06-30 13:48:54;0.0675;300.7681
28;STABLEUSDT;SYNC;2026-06-30 14:02:45;2026-06-30 14:02:45;0.0703;300.8384
29;XPLUSDT;SYNC;2026-06-30 14:07:39;2026-06-30 14:07:39;0.0695;300.908
30;XPLUSDT;SYNC;2026-06-30 14:16:10;2026-06-30 14:16:10;0.0611;300.9691
31;VVVUSDT;SYNC;2026-06-30 14:32:59;2026-06-30 14:32:59;0.069;301.0381
32;XPLUSDT;SYNC;2026-06-30 14:43:14;2026-06-30 14:43:14;0.0687;301.1067
33;XPLUSDT;SYNC;2026-06-30 14:55:27;2026-06-30 14:55:27;0.0692;301.176
34;XPLUSDT;SYNC;2026-06-30 14:55:44;2026-06-30 14:55:44;0.0606;301.2365
35;XPLUSDT;SYNC;2026-06-30 14:57:12;2026-06-30 14:57:12;0.0685;301.305
36;XPLUSDT;SYNC;2026-06-30 15:02:22;2026-06-30 15:02:22;0.0668;301.3718
37;XPLUSDT;SYNC;2026-06-30 15:05:12;2026-06-30 15:05:12;0.0682;301.4401
38;XPLUSDT;SYNC;2026-06-30 15:22:32;2026-06-30 15:22:32;0.0688;301.5088
39;VVVUSDT;SYNC;2026-06-30 15:23:56;2026-06-30 15:23:56;0.0681;301.5769
40;VVVUSDT;SYNC;2026-06-30 15:26:43;2026-06-30 15:26:43;0.0623;301.6392
41;XPLUSDT;SYNC;2026-06-30 15:32:14;2026-06-30 15:32:14;0.0685;301.7077
42;VVVUSDT;SYNC;2026-06-30 15:46:52;2026-06-30 15:46:52;0.0685;301.7761
43;DASHUSDT;SYNC;2026-06-30 15:51:18;2026-06-30 15:51:18;0.0704;301.8465
44;VVVUSDT;SYNC;2026-06-30 15:59:49;2026-06-30 15:59:49;0.0685;301.915
45;XPLUSDT;SYNC;2026-06-30 16:02:34;2026-06-30 16:02:34;0.069;301.984
46;DASHUSDT;SYNC;2026-06-30 16:03:10;2026-06-30 16:03:10;0.0646;302.0486
47;VVVUSDT;SYNC;2026-06-30 18:04:07;2026-06-30 18:04:07;0.0628;302.1114
48;VVVUSDT;SYNC;2026-06-30 18:05:37;2026-06-30 18:05:37;0.0682;302.1796
49;XPLUSDT;SYNC;2026-06-30 19:23:50;2026-06-30 19:23:50;0.0659;302.2456
50;XPLUSDT;SYNC;2026-06-30 19:25:16;2026-06-30 19:25:16;0.0683;302.3139
