# ==========================================
# FLAT SCREENER RESULTS
# Найдено символов: 70
# 
# FLATNESS (Степень боковика):
# Значение от 0.0 до 1.0. Чем ближе к 0, тем идеальнее пара стоит в волатильном коридоре (боковике)
# без направленного тренда. Значение показывает отношение чистого смещения цены к ее полному размаху.
# ==========================================

Symbol          | Volatility   | Flatness
--------------------------------------------------
XNYUSDT         | 39.98%       | 0.1238
AIAUSDT         | 39.81%       | 0.0998
AIOUSDT         | 39.03%       | 0.0472
COLLECTUSDT     | 39.02%       | 0.2950
BELUSDT         | 38.62%       | 0.0054
VVVUSDT         | 38.47%       | 0.1079
BIOUSDT         | 38.10%       | 0.0495
DYMUSDT         | 37.47%       | 0.1508
VANRYUSDT       | 37.38%       | 0.0045
PRLUSDT         | 37.06%       | 0.1687
IDUSDT          | 36.87%       | 0.0627
1000000BOBUSDT  | 36.76%       | 0.0863
FIGHTUSDT       | 36.69%       | 0.2775
SPACEUSDT       | 36.13%       | 0.1942
NOTUSDT         | 36.08%       | 0.1072
FOLKSUSDT       | 35.57%       | 0.3332
WLDUSDT         | 35.46%       | 0.3057
IRYSUSDT        | 35.32%       | 0.3444
DYDXUSDT        | 35.21%       | 0.2925
IOUSDT          | 34.79%       | 0.3302
CHILLGUYUSDT    | 34.62%       | 0.1724
XPLUSDT         | 34.47%       | 0.1138
ONUSDT          | 34.07%       | 0.3277
INXUSDT         | 33.76%       | 0.1803
BANANAS31USDT   | 33.26%       | 0.2588
POWERUSDT       | 33.21%       | 0.2262
PARTIUSDT       | 32.92%       | 0.2637
BULLAUSDT       | 32.71%       | 0.1173
DODOXUSDT       | 32.41%       | 0.2202
EIGENUSDT       | 31.80%       | 0.3350
GTCUSDT         | 31.54%       | 0.1448
PIEVERSEUSDT    | 31.13%       | 0.1384
AKTUSDT         | 30.47%       | 0.1659
BRETTUSDT       | 30.47%       | 0.2567
CATIUSDT        | 29.85%       | 0.1937
LAYERUSDT       | 29.52%       | 0.2247
JELLYJELLYUSDT  | 29.42%       | 0.1156
ORCAUSDT        | 29.30%       | 0.1078
NEARUSDT        | 29.14%       | 0.3384
JUPUSDT         | 29.02%       | 0.2149
TNSRUSDT        | 28.96%       | 0.2812
ORDIUSDT        | 28.94%       | 0.2939
PHAUSDT         | 28.74%       | 0.2769
APRUSDT         | 28.47%       | 0.3132
1000LUNCUSDT    | 28.23%       | 0.0176
MMTUSDT         | 28.13%       | 0.2143
METUSDT         | 28.06%       | 0.1271
SPXUSDT         | 27.80%       | 0.0632
MANTAUSDT       | 27.54%       | 0.0408
XLMUSDT         | 27.54%       | 0.0894
VELODROMEUSDT   | 27.52%       | 0.2915
SQDUSDT         | 27.26%       | 0.0346
ONDOUSDT        | 27.14%       | 0.2049
GOATUSDT        | 26.92%       | 0.2188
REZUSDT         | 26.70%       | 0.3250
RPLUSDT         | 26.45%       | 0.1528
AEROUSDT        | 26.19%       | 0.1415
INJUSDT         | 26.15%       | 0.3253
KGENUSDT        | 26.07%       | 0.0431
KITEUSDT        | 25.97%       | 0.2225
CFGUSDT         | 25.95%       | 0.2254
XPINUSDT        | 25.95%       | 0.1908
PYTHUSDT        | 25.71%       | 0.0816
ENAUSDT         | 25.61%       | 0.3490
BANUSDT         | 25.60%       | 0.2046
PENDLEUSDT      | 25.59%       | 0.2367
ARCUSDT         | 25.46%       | 0.2185
ICPUSDT         | 25.32%       | 0.1071
GIGGLEUSDT      | 25.17%       | 0.3494
CUSDT           | 25.13%       | 0.2193
