# ATR VOLATILITY SCREENER
# Найдено символов: 147

Symbol          | Volatility   | Candles
---------------------------------------------
XNYUSDT         | 39.98%       | 12
AIAUSDT         | 39.81%       | 12
JTOUSDT         | 39.42%       | 12
AIOUSDT         | 39.03%       | 12
COLLECTUSDT     | 39.02%       | 12
USELESSUSDT     | 38.79%       | 12
BELUSDT         | 38.62%       | 12
VVVUSDT         | 38.47%       | 12
TAKEUSDT        | 38.30%       | 12
BIOUSDT         | 38.10%       | 12
AGLDUSDT        | 38.08%       | 12
QUSDT           | 37.86%       | 12
DYMUSDT         | 37.47%       | 12
币安人生USDT        | 37.47%       | 12
DRIFTUSDT       | 37.42%       | 12
VANRYUSDT       | 37.38%       | 12
PUMPBTCUSDT     | 37.32%       | 12
UAIUSDT         | 37.23%       | 12
PRLUSDT         | 37.06%       | 12
IDUSDT          | 36.87%       | 12
1000000BOBUSDT  | 36.76%       | 12
FIGHTUSDT       | 36.69%       | 12
ACTUSDT         | 36.32%       | 12
TRADOORUSDT     | 36.18%       | 12
SPACEUSDT       | 36.13%       | 12
NOTUSDT         | 36.08%       | 12
MEGAUSDT        | 36.02%       | 12
FOLKSUSDT       | 35.57%       | 12
WLDUSDT         | 35.46%       | 12
VICUSDT         | 35.33%       | 12
IRYSUSDT        | 35.32%       | 12
DYDXUSDT        | 35.21%       | 12
RESOLVUSDT      | 35.14%       | 12
IOUSDT          | 34.79%       | 12
CHILLGUYUSDT    | 34.62%       | 12
XPLUSDT         | 34.47%       | 12
NOMUSDT         | 34.45%       | 12
ONUSDT          | 34.07%       | 12
INXUSDT         | 33.76%       | 12
CHIPUSDT        | 33.72%       | 12
LITUSDT         | 33.72%       | 12
BANANAS31USDT   | 33.26%       | 12
POWERUSDT       | 33.21%       | 12
TAUSDT          | 32.94%       | 12
PARTIUSDT       | 32.92%       | 12
BULLAUSDT       | 32.71%       | 12
PTBUSDT         | 32.61%       | 12
ALCHUSDT        | 32.49%       | 12
BIRBUSDT        | 32.44%       | 12
DODOXUSDT       | 32.41%       | 12
XANUSDT         | 32.39%       | 12
PIPPINUSDT      | 32.34%       | 12
EIGENUSDT       | 31.80%       | 12
ZBTUSDT         | 31.76%       | 12
ALICEUSDT       | 31.60%       | 12
GTCUSDT         | 31.54%       | 12
BANKUSDT        | 31.44%       | 12
SXTUSDT         | 31.35%       | 12
PIEVERSEUSDT    | 31.13%       | 12
